ja,en
ボーダーライン,border line
ポータブル,portable
ボートピープル,boat people
ポートフォリオ,portfolio
ホープ,hope
ホームレス,homeless
ポール,pole
ポシェット,pochette
ポジティブ,positive
ボス,boss
ホステス,hostess
ホスト,host
ホスピス,hospice
ボックス,box
ホットスポット,hot spot
ポップ,pop
ポテト,potato
ポテンシャル,potential
ボトムアップ,bottom-up
ボトル,bottle
ボトルネック,bottleneck
ポピュラー,popular
ポプリ,pot pourri
ホモサピエンス,Homo Sapiens
ボランティア,volunteer
ポリシー,policy
ポリ袋,polyethylene
ボルテージ,voltage
ボルト,volt ; bolt
ホルモン,hormone
ホロコースト,holocaust
ポロシャツ,polo shirt
ポロロッカ,pororoca
ホワイトハウス,white house
ホワイトボード,white board
ボンド,bond
ポンド,pound
ボンベ,Bombe
ポン酢,pons
マークシート,mark sheet
マーケティング,marketing
マージャン,麻雀
マージン,margin
マーブル,marble
マイ〜,my
マイクロ,micro
マイナー,minor
マインド,mind
マウス,mouse
マグネット,magnet
マクロ,macro
マジック,magic
マジョ（リティ）,majority
マシン,machine
マシンガン,machine gun
マスコット,mascot
マダム,madam
マックス,max
マッスル,muscle
マッチョ,macho
マット,mat
マップ,map
マテリアル,material
マドラー,muddler
マドンナ,Madonna
マニア,mania
マニフェスト,manifest
マニュアル,manual
マネー,money
マネージャー,maneger
マネーロンダリング,money laundering
マフィア,Mafia
マラカス,maraca
マリッジブルー,marriage blue
マルチ〜,multi
マルチメディア,multimedia
マンスリー,mounthly
マンツーマン,man-to-man
マンパワー,manpower
マンボ,mambo
マンモス,mammoth
ミサイル,missile
ミステリー,mystery
ミステリアス,mysterious
ミスマッチ,mismatch
ミックス,mix
ミッション,mission
ミッシングリンク,missing link
ミディアム,medium
ミドル,middle
ミニ；ミニチュア,miniature
ミネラル,mineral
ミネラルウォーター,mineral water
ミュージシャン,musician
ミラー,mirror
ミラクル,miracle
ミリオンセラー,million seller
ミリタリーバランス,military balance
ムードメーカー,mood maker
ムービー,movie
メイド,maid-servant
メガ,mega
メカニカル,mechanical
メカニック,mechanic
メカニズム,mechanism
メガホン,megaphone
メタ〜,meta
メタリック,metallic
メダル,medal
メッキ,鍍金
メディカルチェック,medical check
メモリアル,memorial
メリット,merit
メンズ,mens
メンタル,mental
メンツ,面子
モーション,motion
モータリゼーション,motorization
モード,mode
モーニング,morning
モザイク,mosaic
モジュール,module
モジュラー,modular
モチベーション,motivation
モニュメント,monument
モノグラフ,monograph
モノマネ,物真似
モバイル,mobile
モラトリアム,moratorium
モラル,moral
モラルハザード,moral hazard
モンスター,monster
ヤード,yard
ヤツ,奴
ヤンキー,yankee
ユーズド〜,used
ユートピア,utopia
ユーロ,Euro
ユニセフ,UNICEF
ユニット,unit
ユニットバス,unit bath
ユニバーサル,universal
ユネスコ,UNESCO
ヨーデル,Jodel
ヨーヨー,yoyo
ラード,lard
〜ライク,like
ライセンス,license
ライフ,life
ライブ,live
ライフサイクル,life cycle
ライフライン,lifeline
ライン,line
ラウンド,round
ラジウム,radium
ラスト,last
ラストオーダー,last-order
ラッキー,lucky
ラック,rack
ラッシュ,rush
ラテン,latin
ラフ,rough
ラブ,love
ラム,ram
ランク,rank
ランキング,ranking
ランダム,random
ランドセル,randsel
ランナー,runner
ランニングコスト,running cost
リアクション,reaction
リアル,real
リアリティ,reality
リアルタイム,real time
リーガル,leagal
リーク,leaking
リーグ,league
リーズナブル,reasonable
リーダー,leader
リードタイム,lead time
リーフレット,leaflet
リカーシブ,recursive
リコール,recall
リコピン,lycopene
リサーチ,research
リスク,risk
リストカット,wrist cut
リストラ,restructuring
リセット,reset
リゾート,resort
リターナブル,returnable
リタイア,retire
リッチ,rich
リデュース,reduce
リテラシー,literacy
リニューアル,renewal
リバーサイド,riverside
リハーサル,rehearsal
リバーシブル,reversible
リバウンド,rebound
リビングウィル,living will
リフォーム,reform
リフト,lift
リフレッシュ,refresh
リベート,rebate
リベンジ,revenge
リミット,limit
リムジンバス,limousine bus
リユース,reuse
リラックス,relax
リラグゼーション,relaxation
リリース,release
リレー,relay
リンク,link
リング,ring
リンス,rinse
ルーツ,roots
ルーム,room
ルサンチマン,resentiment
ルックス,looks
ルポルタージュ,reportage
レア,rare
レイアウト,layout
レイプ,rape
レース,race ; lace
レーダー,radar
レート,rate
レーベル,label
レール,rail
レギュレーション,regulation
レシート,receipt
レジスタンス,resistance
レシピ,recipe
〜レス,less
レスキュー,rescue
レター,letter
レッテル,letter
レッドカード,red card
レディース,ladies
レトルト,retort
レトロ,retrospective
レンタル,rental
ロイヤル〜,royal
ローカル,local
ローション,lotion
ロースト,roast
ロータリー,rotary
ローテーション,rotation
ロード,road
ロードショー,road show
ローマ字,Roma
ローヤルゼリー,royal jelly
ローリング,rolling
ロール,roll
ログ,log
ログアウト,log out
ログイン,log in
ロジック,logic
ロスタイム,loss time
ロック,lock
ロフト,loft
ロボット,robot
ロング,long
ワーキンググループ,working group
ワーキングプア,working poor
ワークシェアリング,work-sharing
ワークショップ,workshop
ワースト,worst
ワールド,world
ワールドカップ,world cup
ワイルド,wild
ワクチン,vaccine
ワックス,wax
ワン,one
ワンコイン,one coin
ワンダーランド,wonderland
